flight_id,datetime,origin_icao,destination_icao,equipment,volume,payload
766473984,2022-10-03 02:50:10,KMEM,PHNL,B77L,86.2752,63233.2972
766481217,2022-10-03 00:21:32,LIRF,YPPH,B789,99.19824,51991.7782
766481849,2022-10-03 03:54:57,YPPH,EGLL,B789,99.19824,51991.7782
766489649,2022-10-03 00:40:13,KATL,RKSI,A359,99.19824,53389.8
766492623,2022-10-03 00:21:34,RKSI,KJFK,B77W,121.752,69064.6498
766492798,2022-10-03 00:35:29,YSSY,OMDB,A388,86.74944,83417.6077
766492940,2022-10-03 01:43:10,VHHH,KJFK,A35K,120.12864,66242.9
766493522,2022-10-03 00:04:21,EGLL,WMKK,A359,99.19824,53389.8
766493913,2022-10-03 01:54:11,WSSS,KLAX,A359,99.19824,53389.8
766493959,2022-10-03 01:10:25,KMEM,TJBQ,B763,62.99184,45374.4091
766494224,2022-10-03 00:25:25,YBBN,OMDB,A388,86.74944,83417.6077
766494360,2022-10-03 00:59:20,YSSY,OTHH,A388,86.74944,83417.6077
766494881,2022-10-03 00:09:53,LTFM,KLAX,B77W,121.752,69064.6498
766496152,2022-10-03 01:10:11,RCTP,KJFK,B77W,121.752,69064.6498
766496464,2022-10-03 00:20:18,YMML,OMDB,A388,86.74944,83417.6077
766496529,2022-10-03 01:27:42,VHHH,CYYZ,A35K,120.12864,66242.9
766496724,2022-10-03 01:46:05,WSSS,KSFO,A359,99.19824,53389.8
766496920,2022-10-03 00:02:30,LTFM,KSFO,B77W,121.752,69064.6498
766497078,2022-10-03 02:04:03,KORD,ZSPD,B77L,86.2752,63233.2972
766499030,2022-10-03 00:45:02,YMML,OMAA,B77W,121.752,69064.6498
766500063,2022-10-03 00:29:43,YPAD,OTHH,B77W,121.752,69064.6498
766500241,2022-10-03 03:32:55,EGLL,YPPH,B789,99.19824,51991.7782
766500393,2022-10-03 00:12:39,LTFM,KIAH,B77W,121.752,69064.6498
766501723,2022-10-03 01:19:04,RCTP,CYYZ,B77W,121.752,69064.6498
766502521,2022-10-03 00:16:08,LIMC,WSSS,A359,99.19824,53389.8
766503828,2022-10-03 00:19:56,LFPG,RJTT,B789,99.19824,51991.7782
766504636,2022-10-03 00:12:58,EHAM,SPJC,B772,86.2752,54299.404
766504915,2022-10-03 00:22:40,EDDF,MMMX,B748,101.79744,74311.6807
766505182,2022-10-03 02:22:50,RJTT,EDDF,B789,99.19824,51991.7782
766505506,2022-10-03 01:57:07,YMML,OTHH,B77W,121.752,69064.6498
766505925,2022-10-03 01:00:20,YBBN,KLAX,A332,75.5136,44846.4433
766506374,2022-10-03 00:25:29,RJAA,EFHK,A359,99.19824,53389.8
766507306,2022-10-03 00:38:38,KLAX,RKSI,B77L,86.2752,63233.2972
766507903,2022-10-03 02:03:04,RKSI,EFHK,A359,99.19824,53389.8
766508111,2022-10-03 00:16:06,EGLL,VHHH,B77W,121.752,69064.6498
766508589,2022-10-03 03:54:20,WSSS,KLAX,A359,99.19824,53389.8
766508761,2022-10-03 00:13:48,EDDF,SKBO,A343,89.48544,50324.83
766509394,2022-10-03 01:15:15,RJTT,LTFM,B77W,121.752,69064.6498
766509494,2022-10-03 00:18:43,EGLL,KPHX,A35K,120.12864,66242.9
766509808,2022-10-03 01:04:53,EDDF,RCTP,B77L,86.2752,63233.2972
766510616,2022-10-03 02:55:38,YBBN,OTHH,B77W,121.752,69064.6498
766510782,2022-10-03 02:34:18,RJTT,EFHK,B789,99.19824,51991.7782
766510790,2022-10-03 02:15:41,YMML,KLAX,B789,99.19824,51991.7782
766510839,2022-10-03 00:04:45,RKSI,KLAX,B77W,121.752,69064.6498
766511301,2022-10-03 03:36:45,KMEM,RKSI,B77L,86.2752,63233.2972
766511839,2022-10-03 01:07:13,WADD,LTFM,B789,99.19824,51991.7782
766511852,2022-10-03 00:16:45,EGLL,ZSPD,A333,86.0016,44491.5
766512088,2022-10-03 00:30:14,LTFM,KATL,B789,99.19824,51991.7782
766512255,2022-10-03 01:02:02,EDDF,FIMP,B763,62.99184,45374.4091
766512973,2022-10-03 00:22:11,LFPG,MMMX,B788,74.784,40610.8525
766513607,2022-10-03 00:13:37,RJAA,OTHH,B77W,121.752,69064.6498
766514340,2022-10-03 01:33:20,SVMG,UUEE,B772,86.2752,54299.404
766515529,2022-10-03 00:19:47,EGLL,KSFO,A388,86.74944,83417.6077
766515658,2022-10-03 00:03:58,EFHK,KLAX,A359,99.19824,53389.8
766515744,2022-10-03 02:26:16,RPLL,KLAX,B77W,121.752,69064.6498
766515819,2022-10-03 00:58:21,RCTP,LTFM,B77W,121.752,69064.6498
766515933,2022-10-03 01:12:34,RPLL,LTFM,A359,99.19824,53389.8
766515938,2022-10-03 02:58:22,VVTS,KSFO,A359,99.19824,53389.8
766517539,2022-10-03 05:02:26,RKSI,EHAM,B789,99.19824,51991.7782
766517693,2022-10-03 05:55:32,KJFK,VHHH,A35K,120.12864,66242.9
766518073,2022-10-03 04:06:17,RJAA,LFPG,B77L,86.2752,63233.2972
766518124,2022-10-03 03:25:41,RJAA,EPWA,B788,74.784,40610.8525
766518237,2022-10-03 00:39:35,LTFM,KIAD,B77W,121.752,69064.6498
766518585,2022-10-03 03:29:43,OTHH,KJFK,B77W,121.752,69064.6498
766518629,2022-10-03 01:44:22,EDDF,ZSPD,A359,99.19824,53389.8
