address;altitude;callsign;date;destination_iata;destination_icao;equipment;event;flight;flight_id;latitude;longitude;operator;origin_iata;origin_icao;registration;time
7C8069;38825;QFA93;2022-10-04;LAX;KLAX;B789;descent;QF93;766673367;32.49619;-120.30711;QFA;MEL;YMML;VH-ZNF;00:32:42
7C8069;0;QFA93;2022-10-04;LAX;KLAX;B789;landed;QF93;766673367;33.93483;-118.40775;QFA;MEL;YMML;VH-ZNF;01:04:52
7C8069;0;QFA93;2022-10-04;LAX;KLAX;B789;gate_arrival;QF93;766673367;33.93541;-118.41212;QFA;MEL;YMML;VH-ZNF;01:05:16
71BD78;39875;AAR2513;2022-10-04;ICN;RKSI;A359;descent;OZ2513;766678687;36.51846;128.67668;AAR;ATL;KATL;HL7578;01:17:27
71BD78;0;AAR2513;2022-10-04;ICN;RKSI;A359;landed;OZ2513;766678687;37.45551;126.42634;AAR;ATL;KATL;HL7578;01:44:19
71BD78;0;AAR2513;2022-10-04;ICN;RKSI;A359;gate_arrival;OZ2513;766678687;37.44906;126.43974;AAR;ATL;KATL;HL7578;01:51:18
896354;31650;ETD455;2022-10-04;AUH;OMAA;B77W;descent;EY455;766680241;23.46591;56.32304;ETD;SYD;YSSY;A6-ETQ;00:05:19
896354;0;ETD455;2022-10-04;AUH;OMAA;B77W;landed;EY455;766680241;24.45412;54.65372;ETD;SYD;YSSY;A6-ETQ;00:33:45
896354;0;ETD455;2022-10-04;AUH;OMAA;B77W;gate_arrival;EY455;766680241;24.44844;54.65615;ETD;SYD;YSSY;A6-ETQ;00:35:27
71C346;34650;KAL085;2022-10-04;JFK;KJFK;B77W;descent;KE85;766681520;42.62375;-74.87682;KAL;ICN;RKSI;HL8346;00:02:23
71C346;0;KAL085;2022-10-04;JFK;KJFK;B77W;landed;KE85;766681520;40.63840;-73.76022;KAL;ICN;RKSI;HL8346;00:40:41
71C346;0;KAL085;2022-10-04;JFK;KJFK;B77W;gate_arrival;KE85;766681520;40.64327;-73.75822;KAL;ICN;RKSI;HL8346;00:41:52
75855B;33900;PAL126;2022-10-04;JFK;KJFK;A359;descent;PR126;766684088;41.39827;-76.05280;PAL;MNL;RPLL;RP-C3508;02:17:33
75855B;0;PAL126;2022-10-04;JFK;KJFK;A359;landed;PR126;766684088;40.63668;-73.76157;PAL;MNL;RPLL;RP-C3508;02:57:48
75855B;0;PAL126;2022-10-04;JFK;KJFK;A359;gate_arrival;PR126;766684088;40.64152;-73.76385;PAL;MNL;RPLL;RP-C3508;02:57:58
7C492A;0;QFA7002;2022-10-04;SIN;WSSS;A388;landed;QF7002;766684267;1.35872;103.98161;QFA;LHR;EGLL;VH-OQK;00:21:50
7C492A;0;QFA7002;2022-10-04;SIN;WSSS;A388;gate_arrival;QF7002;766684267;1.35520;103.98168;QFA;LHR;EGLL;VH-OQK;00:22:38
89655D;39900;UAE5CL;2022-10-04;DXB;OMDB;A388;descent;EK413;766685016;23.78163;57.56002;UAE;SYD;YSSY;A6-EVQ;00:30:43
89655D;0;UAE5CL;2022-10-04;DXB;OMDB;A388;landed;EK413;766685016;25.25153;55.37403;UAE;SYD;YSSY;A6-EVQ;01:01:25
89655D;0;UAE5CL;2022-10-04;DXB;OMDB;A388;gate_arrival;EK413;766685016;25.24695;55.37870;UAE;SYD;YSSY;A6-EVQ;01:01:40
789230;40950;CPA826;2022-10-04;YYZ;CYYZ;A35K;descent;CX826;766685138;45.42261;-81.80923;CPA;HKG;VHHH;B-LXJ;02:05:05
789230;0;CPA826;2022-10-04;YYZ;CYYZ;A35K;landed;CX826;766685138;43.68169;-79.65314;CPA;HKG;VHHH;B-LXJ;02:35:54
789230;0;CPA826;2022-10-04;YYZ;CYYZ;A35K;gate_arrival;CX826;766685138;43.67874;-79.65491;CPA;HKG;VHHH;B-LXJ;02:36:35
8964B7;39850;UAE12JQ;2022-10-04;DXB;OMDB;A388;descent;EK431;766685173;24.36928;57.74089;UAE;BNE;YBBN;A6-EVI;00:34:03
8964B7;0;UAE12JQ;2022-10-04;DXB;OMDB;A388;landed;EK431;766685173;25.25070;55.37505;UAE;BNE;YBBN;A6-EVI;01:03:16
8964B7;0;UAE12JQ;2022-10-04;DXB;OMDB;A388;gate_arrival;EK431;766685173;25.24753;55.37763;UAE;BNE;YBBN;A6-EVI;01:03:59
4BA952;0;THY9;2022-10-04;LAX;KLAX;B77W;gate_arrival;TK9;766685440;33.93525;-118.41128;THY;IST;LTFM;TC-JJR;00:00:08
76CDBA;40925;SIA34;2022-10-04;SFO;KSFO;A359;descent;SQ34;766685760;37.95651;-125.18497;SIA;SIN;WSSS;9V-SMZ;01:27:21
76CDBA;0;SIA34;2022-10-04;SFO;KSFO;A359;landed;SQ34;766685760;37.62140;-122.38153;SIA;SIN;WSSS;9V-SMZ;01:59:31
76CDBA;0;SIA34;2022-10-04;SFO;KSFO;A359;gate_arrival;SQ34;766685760;37.62217;-122.38453;SIA;SIN;WSSS;9V-SMZ;01:59:41
7C806A;39625;QFA9;2022-10-04;LHR;EGLL;B789;descent;QF9;766686043;51.37894;3.04611;QFA;PER;YPPH;VH-ZNG;03:27:53
7C806A;0;QFA9;2022-10-04;LHR;EGLL;B789;landed;QF9;766686043;51.46487;-0.46328;QFA;PER;YPPH;VH-ZNG;03:53:53
