origin_icao,total_payload
KJFK,8421524.1425
KATL,7135739.5665
KLAX,7005564.3584
KORD,6813819.835200001
RJTT,6519569.8621
OMDB,5787944.7151999995
RKSI,5772410.2608
KDFW,5354527.3075
KDEN,4974580.7732
EGLL,4891757.3741999995
WSSS,4800187.9350000005
KMIA,4783649.9501
OTHH,4748183.3037
KEWR,4731238.9631
VIDP,4524220.0136
RCTP,4440901.2759
CYYZ,3888016.2811000003
KSFO,3815043.3002
ZSPD,3796414.2148
VTBS,3777286.8246
YSSY,3627628.2943
VHHH,3586256.1428
SBGR,3562345.4220000003
KIAH,3543213.0883
KSEA,3489149.9836
PANC,3448672.6056
KLAS,3300639.4981
RJAA,3147978.2859
LFPG,3131369.1146
LTFM,3100114.3302
KBOS,3096118.9935
ZGGG,3089660.8051
KMCO,3057718.8742
KPHX,2979999.1446
KIAD,2955507.0682
MMMX,2890715.5798
WIII,2844363.3464
VABB,2816583.8425
PHNL,2658570.7972
ZGSZ,2564502.9131
OEJN,2549446.9895
RPLL,2464548.3092
EDDF,2394991.2868
VVTS,2353300.7739
KCLT,2334561.9428
YMML,2313690.4858
WMKK,2247409.0265
KPHL,2235726.5473
EDDK,2131575.9006
SKBO,1938833.7791000002
CYUL,1930614.716
KSAN,1916705.6844000001
CYVR,1909601.8749
EDDP,1907227.0175
KMSP,1891415.7271
MPTO,1854801.2000000002
ZBAA,1834740.477
ZUCK,1819888.2256
KDTW,1779251.6669
VOBL,1748530.7805
KMDW,1693480.9532
VVNB,1619750.6281
OMAA,1607305.8612
RKPC,1558850.6629
YBBN,1548166.7707
KBWI,1532833.0224000001
ZSHC,1532598.7005
MMUN,1500560.8657
ZSSS,1438672.2005
OERK,1435384.773
KAUS,1434144.9432
ZUUU,1419514.1606
RJBB,1413380.2658
UUEE,1405045.5248
KFLL,1392582.9613
RJCC,1368227.3255
LTAI,1329009.5513
KSLC,1296329.0615
KLGA,1284925.3957
UUDD,1274442.2096
RKSS,1260840.6637
KMEM,1251104.9348
KBNA,1244000.1366
LEMD,1231221.1891
KPDX,1214474.5885
VTBD,1202449.0304
CYYC,1182597.9118000001
ZSNJ,1166953.7117
ROAH,1164295.0974
FAOR,1156029.5654
SAEZ,1135403.306
KOAK,1096277.4809
RJFF,1088002.0619
EHAM,1087533.4181000001
HAAB,1078746.8412000001
HECA,1070910.405
KDAL,1037108.7294000001
ZSAM,1032886.9804
VOHS,1030322.2926
MMGL,1024300.1209
VOMM,1023396.4491
KSDF,1014952.9511
YPPH,1011931.4839
OBBI,948445.0795
SBBR,947681.8031
UUWW,943139.7153
VGHS,938763.7291
SCEL,933037.1787
NZAA,918043.5432000001
KTPA,906027.8721
KONT,902734.5124
RJOO,894991.014
KHOU,894541.1555
KSJC,889598.6442
SBKP,876398.5105
HKJK,867892.7244
ZGHA,864734.8166
PHOG,855904.7369
KSTL,851002.7623000001
ZBAD,849098.5261
SPJC,824620.2915
ZUTF,806421.2906000001
KDCA,805838.9463000001
OKBK,786552.3754
KSNA,777012.4091
ZHHH,751409.0339
KCVG,749527.5378
KRDU,742801.4117
KMSY,728339.6968
TJSJ,727065.2625
RJGG,704692.9589
VAAH,701461.8873
ZHCC,692118.6723
WARR,681304.2717
VECC,678583.3693
ZYTX,672588.8812000001
SBSP,672272.4972
OOMS,670918.9669
ZLXY,669852.1596
WADD,664606.1174
ULLI,656517.5627
EGNX,652380.8419
ZPPP,645258.2471
KMCI,634434.9482
MMMY,628424.6409
ZJHK,617221.6812
UAAA,613207.5592
KSMF,610755.5832
EBBR,607543.2969000001
OIIE,607326.7716
MMTJ,581298.2554
KIND,579429.6124
DGAA,562243.0403
ZYCC,562169.8765
LIMC,559475.669
OMSJ,546274.5466
SBGL,545001.101
KBDL,541457.6002
CYEG,540763.5328
LIRF,536067.2078
VCBI,535065.6547
UACC,525924.1345
ZYTL,523116.2265
SKRG,518876.68090000004
VOCI,517541.93590000004
ZSFZ,514156.62710000004
EBLG,509970.4713
OEMA,505711.1517
WAAA,504055.07920000004
ZGNN,492255.93340000004
LSZH,491605.3688
KBUR,489656.6411
SABE,489446.048
SEQM,479586.7316
LTBJ,478281.6476
GOBD,474056.9325
ZBTJ,472925.85970000003
KSAT,472096.3404
MROC,464395.3561
KELP,463268.2381
UBBB,461786.17679999996
GMMN,459084.0597
DNMM,458190.2749
YBCG,457759.20170000003
RKPK,452276.8602
UTTT,443697.9103
EDDM,441395.228
KPIT,435841.7001
OPKC,435155.5423
SKCG,434439.7235
MDPC,428959.3594
USSS,427843.11710000003
MDSD,425727.2991
ZYHB,424919.5312
SBRJ,424804.842
OPLA,419669.5342
OPIS,416269.3949
EGSS,414724.0568
YBCS,413346.7977
